Cluster,Business_Segment,Customer_Count,Percentage,Average_Income,Average_Total_Spending,Average_Total_Purchases,Average_Recency,Average_Campaign_Acceptance,Average_Web_Purchases,Average_Store_Purchases,Average_Catalog_Purchases
0,Low-Value / Low-Engagement Customers,1207,53.96,36951.44,147.71,6.98,48.8,0.09,2.67,3.58,0.73
1,High-Value Customers,1030,46.04,69319.25,1060.87,19.06,49.46,0.54,5.75,8.39,4.92
