Overall_Rank,Algorithm,Number_of_Clusters,Silhouette_Score,Davies_Bouldin_Index,Noise_Points,Noise_Percentage,Training_Time_Seconds,Interpretability,Business_Usefulness
1,K-Means,2,0.2929,1.3796,0,0.0,0.1818833351135254,High,High
2,GMM,2,0.2736,1.4008,0,0.0,0.251514196395874,Medium,High
3,Hierarchical,2,0.2403,1.4727,0,0.0,0.4950828552246094,Medium,Medium
4,DBSCAN,3,0.2675,1.567,913,40.813589628967364,0.038768768310546875,Medium,Medium
