,Income,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Digital_Engagement
Low-Value / Low-Engagement Customers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High-Value Customers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
