K,Silhouette_Score
2,0.29293088565825487
3,0.24424935159771483
4,0.1908820345794969
5,0.16803750096814488
6,0.16058034968323953
7,0.1616004636244334
8,0.14302379172867963
9,0.15554093180439732
10,0.13807555972308208
