Sample_Fraction,Sample_Size,Random_State,Cluster_0_Count,Cluster_1_Count,Silhouette_Score,Davies_Bouldin_Index,Training_Time_Seconds
0.7,1565,42,831,734,0.2932,1.3766,0.1696
0.8,1789,100,833,956,0.2935,1.3754,0.3052
0.9,2013,200,1082,931,0.2915,1.3844,0.3329
