Rank,eps,min_samples,Number_of_Clusters,Noise_Points,Noise_Percentage,Silhouette_Score,Davies_Bouldin_Index,Training_Time_Seconds
1,0.9,5,7,2180,97.45194456861869,0.43586449068714817,0.8276108921380404,0.06871867179870605
2,1.1,10,2,2158,96.46848457755924,0.23070389678207512,1.3066147694866337,0.08934450149536133
3,1.1,5,11,2046,91.46177916852928,0.20135018432281968,1.136758138851825,0.13819289207458496
4,1.3,15,2,2104,94.05453732677694,0.19612405197798488,1.7772643208426129,0.21568799018859863
5,1.3,10,4,2000,89.4054537326777,0.19382342618402432,1.6056012963492294,0.0979621410369873
6,1.3,5,25,1731,77.38042020563253,0.0791293820868348,1.0713126802089419,0.06378817558288574
