Bootstrap_Iteration,Cluster_0_Count,Cluster_1_Count,Silhouette_Score,Davies_Bouldin_Index,Training_Time_Seconds
1,1204,1033,0.2842,1.4114,0.2269
2,984,1253,0.2939,1.3833,0.2577
3,1022,1215,0.2943,1.3747,0.2169
4,987,1250,0.3018,1.3485,0.1799
5,1203,1034,0.2956,1.3681,0.2409
6,1041,1196,0.2984,1.3584,0.1569
7,1234,1003,0.2933,1.3801,0.1213
8,1233,1004,0.2987,1.359,0.0959
9,1053,1184,0.293,1.3778,0.1393
10,1201,1036,0.2913,1.3895,0.126
