K,Inertia_WCSS
2,25631.538183637796
3,21715.615157508168
4,20023.836613510262
5,18760.303611828724
6,17695.21499972749
7,16897.509681898307
8,16317.279428193906
9,15803.288114869143
10,15397.161817027749
