PC1,PC2,KMeans_Cluster
3.7840395498603656,1.2022835798734985,1
-2.9937980780475453,0.022591030198106783,0
2.4506342291203325,-0.6049180731596727,1
-2.578656066721092,-1.16161072039524,0
-0.03759142584337481,0.6822181587410633,0
1.4327470929397639,0.6796237840032752,1
0.7329737806196441,1.51580642958382,1
-1.973821687057251,-0.2806685946818119,0
-2.690802411567997,-0.7085797560777308,0
-5.052145313035408,1.4135988437978892,0
-2.768163272397849,-1.5218834947922812,0
-2.338259033297783,-1.7577521498916442,0
2.044461924664142,-1.7092842561000205,1
-0.9681749083069309,1.5984441697958112,0
-2.4815002716603374,-2.0245785947832498,0
4.833791283297982,0.03320731274232341,1
-2.9658819956720155,1.1720471554687248,0
-0.29749263813840365,-0.43291737253754525,0
4.028719836536684,1.9377448473692906,1
-2.1046117212168416,-0.5569353263322773,0
-0.3872293808156726,-1.0702813455407538,0
3.065844579485495,4.29882255797993,0
0.8143150967981956,0.839169694944425,1
0.9093939653259645,0.5494315004694308,1
-0.6374760455205485,2.546239270840069,0
-1.885326661504729,-1.3645742571764612,0
-1.7198598825324753,1.6718885250567546,0
3.1799117626004803,2.4529049827213516,1
-1.69752208376212,-1.1757246907775913,0
4.841613587479111,-0.6982453568001735,1
-2.151497289040291,-2.3831148445279675,0
0.1788113858166379,-1.9325549273426255,1
-1.4770847764679889,-0.506325821938295,0
-1.5577892450874469,2.7125191281358534,0
2.345816103198479,-0.5465173265046932,1
-2.7236145806821463,0.23007200730689514,0
2.4150301335825675,1.1117958528950296,1
-2.517011624326258,-0.20860744948615428,0
-2.2643490738351093,-1.2021937417498638,0
3.263507015429484,0.5252991929308954,1
2.7059892888474266,0.7294109544267477,1
-2.94197076298293,-0.5542360458725346,0
-2.891423355829667,-1.1570344866506115,0
-0.23851135235716542,-2.4668993569677147,0
-3.028443221596613,-0.6410127727334082,0
1.919356885645083,-2.4434047556603904,1
-2.1696676710823843,-0.9566094353449353,0
-2.74219330044344,-0.6156355980925869,0
-2.926666780650813,1.8820902223026317,0
0.91921284378795,4.46275000238403,1
0.8641462271311147,-0.7705762213415212,1
4.832322265770954,0.20351699566261983,1
-2.5116954627392065,-0.47843684664967556,0
4.377000940576638,-1.8766686118539138,1
-0.047564288007201666,2.3995350950034893,0
5.42040090553248,-0.5106877079956101,1
2.927809241803016,-0.8467209774900364,1
-2.4772855197427983,-2.175973599961781,0
-2.300258814648941,-0.8382187033199641,0
0.38367180306245424,0.8392355302073131,1
3.982704803974065,-1.7456794755785028,1
0.431615558949285,1.9298037521494478,1
1.450808845902928,2.062149729025265,1
1.3619134442231684,0.5511397544786144,1
2.3752069747259976,-0.8952464650917494,1
-2.765924629936621,-1.104201355160059,0
-3.651942587264279,-0.5053559652889494,0
5.094841648237651,1.2360808819650555,1
1.131449113448511,-0.10622991698201824,1
0.3596753254045172,3.57437586139928,0
3.0142814807173752,-0.03281925019089614,1
-2.128826988765654,0.34063019658723775,0
2.4303457869028464,2.5776336113828537,1
0.6457967672030361,3.0505505430604076,1
-1.0665005015219617,-2.5950591769803077,0
-2.7649480425221835,-1.1340771250246138,0
3.3429087221288847,-0.26969718064388504,1
4.63131606487863,-0.7755492767473446,1
-2.1940280309321127,-2.9596920890480507,0
1.907391569181987,0.4647169713147468,1
-2.11616575167289,0.6461215529600605,0
-3.0676908765399182,-1.1881628962132178,0
-2.5844021034307265,-0.10949173994609514,0
0.1788113858166379,-1.9325549273426255,1
3.8628734252145325,-1.5139885067838665,1
-3.2740474515306435,0.41256310849660466,0
-2.375335304598683,1.6466392606528308,0
-0.012623625135691893,0.5561482875558103,0
3.4405986482126742,-1.6744791967753356,1
-0.7495204210436937,-1.460021672845797,0
-1.2316180254201854,6.541512060982386,0
-3.276711911150763,-0.352653183306159,0
1.74500620761547,-2.2045151714089264,1
-2.6699401087110837,-1.492023901666262,0
-2.2756285980452002,-0.6388115618834609,0
-2.597570393048264,-1.6885373682539113,0
0.9826273372731864,1.9144390422457658,1
-2.8877897503725287,0.5123759202790013,0
3.9016953361045443,-0.8290902974589377,1
0.5269554238644549,-1.1431368318108575,1
-2.3770739978322473,-0.40668748853880604,0
-2.4776819282271747,-0.8984361874660179,0
3.0281190447833253,1.3560569509683558,1
2.31372513273059,-0.7316144427770255,1
3.5254962404521155,-1.6395333906237233,1
-2.7803327635617645,-1.6790643659632105,0
-2.0613538608957276,1.5210795505968957,0
1.0318767650495466,2.711711426630571,1
-1.8870669339350732,-0.28315346722153195,0
2.1366521908500404,-1.2229310212377744,1
2.702563166839232,0.10802356751244517,1
2.905468601028253,-0.40931360467245964,1
0.8895212150936558,0.610692953285471,1
3.947301137015301,-0.7852264757763852,1
0.20316137083946736,1.6004241403655433,0
-2.4388924072705644,0.3950514440552549,0
3.8659753444906384,-2.3296755547715993,1
-0.3010214390470207,2.042911804756539,0
-2.944119947716716,0.15755997411414885,0
-2.755642306815028,-0.8826148499644034,0
1.0336038246766512,1.2130645105908116,1
-2.256267169138789,-0.6654442187673794,0
-3.8017420752066515,0.023809214319643616,0
-2.7661175859708207,-1.145189310439026,0
