Cluster,Persona_Name,Customers,Average_Age,Average_Income,Average_Total_Spending,Average_Total_Purchases,Preferred_Product,Preferred_Channel,Campaign_Response,Activity_Level,Risk_Level
0,Budget-Conscious Family Buyers,1,,,,,Not Available,Not Available,Not Available,Not Available,Not Available
1,High-Value Premium Customers,1,,,,,Not Available,Not Available,Not Available,Not Available,Not Available
