KMeans_Cluster,Customer_Count,Average_Age,Minimum_Age,Maximum_Age,Average_Income,Average_Family_Size,Average_Total_Children,Average_Total_Spending,Average_Total_Purchases,Average_Web_Purchases,Average_Catalog_Purchases,Average_Store_Purchases,Average_Deal_Purchases,Average_Website_Visits,Average_Recency,Average_Campaign_Acceptance,Campaign_Responsive_Rate,Marketing_Resistant_Rate,Complaint_Rate,Reengagement_Rate,Business_Value_Score
0,1207,54.3,29,85,36951.44,2.3,1.3,147.71,6.98,2.67,0.73,3.58,2.56,6.51,48.8,0.09,15.41,84.59,0.99,43.83,0.5
1,1030,58.2,30,84,69319.25,1.54,0.54,1060.87,19.06,5.75,4.92,8.39,2.06,3.93,49.46,0.54,40.97,59.03,0.78,31.36,1.0
