KMeans_Cluster,Total_Spending,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
0,147.71,74.65,5.8,32.56,8.66,5.96,20.08
1,1060.87,568.75,40.27,289.41,59.58,40.66,62.2
