KMeans_Cluster,Campaign_1_Acceptance,Campaign_2_Acceptance,Campaign_3_Acceptance,Campaign_4_Acceptance,Campaign_5_Acceptance,Final_Response_Count,Complaint_Count,Campaign_Responsive_Count,Marketing_Resistant_Count,Reengagement_Count
0,6,2,80,22,0,116,12,186,1021,529
1,138,28,83,145,162,218,8,422,608,323
