Cluster,Customer_Count,Average_Age,Average_Income,Average_Family_Size,Average_Total_Children,Average_Total_Spending,Average_Total_Purchases,Dominant_Channel,Dominant_Product,Campaign_Responsive_Rate,Marketing_Resistant_Rate,Reengagement_Rate
0,1207.0,54.3,36951.44,2.3,1.3,147.71,6.98,Store,Wine,15.41,84.59,43.83
1,1030.0,58.2,69319.25,1.54,0.54,1060.87,19.06,Store,Wine,40.97,59.03,31.36
