KMeans_Cluster,Customer_Count,Customer_Percentage,Average_Age,Average_Income,Average_Family_Size,Average_Total_Children,Most_Common_Education,Most_Common_Marital_Status
0,1207,53.96,54.3,36951.44,2.3,1.3,Graduation,Married
1,1030,46.04,58.2,69319.25,1.54,0.54,Graduation,Married
