KMeans_Cluster,Web_Purchases,Catalog_Purchases,Store_Purchases,Deal_Purchases,Website_Visits,Recency
0,2.67,0.73,3.58,2.56,6.51,48.8
1,5.75,4.92,8.39,2.06,3.93,49.46
