KMeans_Cluster,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age
0,1970.7,36951.44,0.76,0.54,48.8,74.65,5.8,32.56,8.66,5.96,20.08,2.56,2.67,0.73,3.58,6.51,0.07,0.02,0.0,0.0,0.0,0.01,3.0,11.0,0.1,54.3
1,1966.8,69319.25,0.07,0.47,49.46,568.75,40.27,289.41,59.58,40.66,62.2,2.06,5.75,4.92,8.39,3.93,0.08,0.14,0.16,0.13,0.03,0.01,3.0,11.0,0.21,58.2
