KMeans_Cluster,Average_Family_Size,Average_Total_Children,Average_Kidhome,Average_Teenhome,Maximum_Family_Size,Maximum_Total_Children
0,2.3,1.3,0.76,0.54,4,3
1,1.54,0.54,0.07,0.47,4,3
