KMeans_Cluster,Absurd,Alone,Divorced,Married,Single,Together,Widow,Yolo
0,0.0,0.25,9.86,39.44,21.87,26.01,2.4,0.17
1,0.19,0.0,10.87,37.67,20.87,25.73,4.66,0.0
