KMeans_Cluster,Average_Age,Average_Income,Minimum_Age,Maximum_Age,Minimum_Income,Maximum_Income
0,54.3,36951.44,29,85,1730.0,117418.0
1,58.2,69319.25,30,84,22507.0,117418.0
